name,id,latitude,longitude,zipcode,rating,url
TF Cornerstone,o4wd-76S93upBzfC6HV9rg,40.6884983,-73.9835728,11201,3.5,https://s3-media3.fl.yelpcdn.com/bphoto/-kdT6I4ADiOHxMBIOqbxfA/o.jpg
180 Water Street,i0W64254EJ2y3vjsQyrfPA,40.707,-74.00554,10038,2.5,https://s3-media4.fl.yelpcdn.com/bphoto/iUnjjy3mm8Eujj9l-gstzg/o.jpg
The Nicole,_sHexHm7CJ20KKcD0QTCZw,40.766552,-73.9868622,10019,4.5,https://s3-media4.fl.yelpcdn.com/bphoto/YnleFlARDLaLiMpnpXSoyQ/o.jpg
Metropolis,HnZs7PMk0NTKatU8zWHUew,40.75218848,-73.9741715,10017,4.5,https://s3-media1.fl.yelpcdn.com/bphoto/VrsTc-iwicIKXztTqR4Gaw/o.jpg
600 Washington Apartments,_8Vgedeziqlt59PikBrosw,40.73081,-74.00925,10014,3.5,https://s3-media3.fl.yelpcdn.com/bphoto/i2ANu-PNN_R4XBqjiu2PTw/o.jpg
175 Kent Apartments,KOK38Ynjt2Snbjb5pp94QA,40.7179341,-73.9634425,11249,4,https://s3-media1.fl.yelpcdn.com/bphoto/jQxJbxvb6YKjjgVnW9uTaw/o.jpg
Avalon Brooklyn Bay,CSuRSQvwkupRGQm6t5QoMA,40.58583,-73.95375,11235,3.5,https://s3-media4.fl.yelpcdn.com/bphoto/1_9KRju_8X5WptP3a31lrg/o.jpg
Chrystie,oZqpca-AUU21oMhkuXZoSA,40.72346,-73.9919,10002,2,https://s3-media1.fl.yelpcdn.com/bphoto/Fb1gdCqY-Eflhc4x-QJXGQ/o.jpg
89 Murray,ncWUS9WGXmVKOtIDqe0ZLw,40.71509839,-74.01156664,10007,4,https://s3-media4.fl.yelpcdn.com/bphoto/xuQrJo-KVLROwy_iGlqHWg/o.jpg
110 Horatio Street,yA9EkyPsMdBnii8UZHFkXg,40.738624,-74.009432,10014,5,https://s3-media2.fl.yelpcdn.com/bphoto/pU01b4SxI8CRcW_G3Eef5Q/o.jpg
VIA 57 West,kcaGiw83NTTz0NY4URjqww,40.7714779,-73.9930129,10019,3.5,https://s3-media3.fl.yelpcdn.com/bphoto/_y1FaZ_Md7VpKFB0biT27A/o.jpg
The Markle Evangeline Residence,xBdfMBzXPyoyOue2tZN8lA,40.73725,-73.99844,10011,3,https://s3-media2.fl.yelpcdn.com/bphoto/aIXz906hdnbq7oY8N9SkEA/o.jpg
Estuary Apartments,46jU0Runu_9Mi9YrykQ35Q,40.763041,-74.021857,7086,3.5,https://s3-media3.fl.yelpcdn.com/bphoto/kQ88QUXV3av82ajTo-fJiw/o.jpg
Luxury Apartments LIC,xIZgK4jUsWxu23SUWLXIfw,40.74962,-73.93963,11101,5,https://s3-media3.fl.yelpcdn.com/bphoto/wolDs6o-vwLU_p9ckWgzXA/o.jpg
267 Pacific,aknyujn6MomqX1FNpg45Ow,40.68829,-73.989883,11201,5,https://s3-media1.fl.yelpcdn.com/bphoto/qOePbGtGhsE-dGewC53KUA/o.jpg
Sloane Chelsea,fuUfEC0C8wsZykWnRAaG7w,40.75301,-73.99582,10001,1,https://s3-media1.fl.yelpcdn.com/bphoto/eh5ukBtx6pzCST4PBCb-Og/o.jpg
Hub,lCrmt-s2oWDRwg4F-F-Zig,40.6874817,-73.9809402,11217,3.5,https://s3-media4.fl.yelpcdn.com/bphoto/JgTUe8v87A44LyyxOVp_Vw/o.jpg
The Eugene,vV0Xcxrjj19-RL7ko2hznA,40.75212794,-73.99902146,10001,4,https://s3-media3.fl.yelpcdn.com/bphoto/KgsLtzmDHtc16LnnQoxH1Q/o.jpg
Lenox Terrace Leasing,C2wg0_l-Vm5-BBL92J8D0A,40.81326429,-73.94118315,10037,2.5,https://s3-media1.fl.yelpcdn.com/bphoto/vrnm0h83XUZvGK4nMqSP8g/o.jpg
Newport Jersey City Apartments,lFjLrUVsVjuGv7kptTs6cA,40.7264084,-74.0341659,7310,3,https://s3-media4.fl.yelpcdn.com/bphoto/dCnUAATIwehcuXrJ3oloBA/o.jpg
Kips Bay Court,FUS9ypYBsn2FmE_GzCYGXg,40.74074,-73.97832,10016,2.5,https://s3-media4.fl.yelpcdn.com/bphoto/eRDKStKifzdQdATp4FQoVA/o.jpg
EOS,fVdo0mBsSnwpRukKEd_bVA,40.7477325,-73.9898099,10001,2.5,https://s3-media1.fl.yelpcdn.com/bphoto/zP-qwz89Tbdt2hkLady6JQ/o.jpg
The Addison,fkNAj0MtdV_ED8WA-KAoyQ,40.688756,-73.9851235,11201,2,https://s3-media3.fl.yelpcdn.com/bphoto/WK15w2vqpWz7AK9l5WB7kA/o.jpg
