uid,name,url,latitude,longitude,zipcode,rating,cluster,starting_price,res_score,bus_score,subway_score,traffic_score,res_score_raw,bus_score_raw,subway_score_raw
39,70 Pine,https://s3-media1.fl.yelpcdn.com/bphoto/VIFtZlHY80w7n1EPyQGZfw/o.jpg,40.706537,-74.007687,10270,4,147,1165,5,3.832549717,0.8273617,2.329955709,100,76.65099434,16.547234
40,Urban American Management,https://s3-media3.fl.yelpcdn.com/bphoto/pOS9o7bu6qxM0oQvY0buhA/o.jpg,40.7462,-73.9934323,10001,2,146,1867.737024,3.296273002,3.718221811,3.856825692,3.787523751,65.92546003,74.36443621,77.13651383
41,Village Dwellings,https://s3-media1.fl.yelpcdn.com/bphoto/ofPEnRgrsW3TM03bVXRSbA/o.jpg,40.73386,-74.00296,10014,5,122,2091.341037,1.695658263,3.606759898,2.406860459,3.006810178,33.91316525,72.13519796,48.13720917
42,Barclay Tower - Glenwood,https://s3-media4.fl.yelpcdn.com/bphoto/W6e6uITTNLj9L4dqWSoprQ/o.jpg,40.7123599,-74.00915,10007,4.5,125,1375,3.646407476,3.561525252,3.497599158,3.529562205,72.92814952,71.23050504,69.95198316
43,424 Bedford,https://s3-media4.fl.yelpcdn.com/bphoto/BzFr8gR0_faPx1xTt0xnuQ/o.jpg,40.709458,-73.964337,11211,5,165,1840.589281,2.400095479,3.417331604,3.402793947,3.410062775,48.00190957,68.34663208,68.05587893
44,The Pinnacle,https://s3-media3.fl.yelpcdn.com/bphoto/ycehgOx9euwmg02TdvER_w/o.jpg,40.7189823,-73.83683047,11375,4.5,17,1333.365382,3.019380943,0,0,0,60.38761886,0,0
45,The Albert,https://s3-media2.fl.yelpcdn.com/bphoto/scSRNDhsrAlxcp8T2KjsEg/o.jpg,40.73269,-73.99345,10011,4,16,2141.361674,3.135496968,0,3.604945466,1.802472733,62.70993935,0,72.09890932
46,The Westport,https://s3-media2.fl.yelpcdn.com/bphoto/S-fYMzEDP6PAyCVqgIrcmA/o.jpg,40.76854,-73.98955,10019,5,90,2293.533775,3.212907651,3.586062516,2.81900912,3.202535818,64.25815301,71.72125031,56.38018239
47,388 Bridge,https://s3-media3.fl.yelpcdn.com/bphoto/3jl1WjR55wMx-KVg8_1D1g/o.jpg,40.6917147,-73.9854865,11201,5,40,875,1.5,3.262307888,2.413936182,2.838122035,30,65.24615775,48.27872363
48,The Edge,https://s3-media4.fl.yelpcdn.com/bphoto/53hET4MYgZHjQprS_n4gJw/o.jpg,40.71944,-73.96224,11211,3.5,140,1913.133589,3.483845042,3.947040578,4.4405255,4.193783039,69.67690083,78.94081156,88.81051
