name,latitude,longitude,zipcode,rating,id
Broadway Kitchens & Baths,40.7391561,-73.9883058,10010,2,272
Vanderbilt Condominium,40.7494156,-73.9736532,10017,1,273
The Helena,40.770774,-73.991683,10019,3,274
Renaissance,40.70781849,-74.00657433,10038,1,275
Furnished Apartments,40.762738,-73.961035,10065,2,276
333 Grand,40.71641,-74.04882,7302,5,277
Tribeca Pointe,40.7178802,-74.0157471,10282,5,278
Caroline Sinno Photography,40.7076158,-74.005871,10038,2,279
Canal Rubber Supl,40.7204,-74.00301,10013,1,280
568 Union Ave,40.71778,-73.95181,11211,3,281
The Gotham Apartments,40.7167172,-74.0395414,7302,3,282
30 Lincoln Plaza,40.7704996,-73.9815465,10023,3,283
Manhattan Park,40.76518826,-73.94742899,10044,5,284
Vermella Harrison,40.7351742,-74.1551931,7029,3,285
Kings & Queens Apartments,40.587506,-73.955865,11235,5,286
Greenwich Club Residences,40.70782386,-74.01371107,10006,3,287
Innovation Shades,40.7221818,-74.0079635,10013,1,288
Moda Upgraded Living,40.70539114,-73.80244491,11432,1,289
Crystal Point,40.72141654,-74.03202571,7302,4,290
Moda Realty,40.8874608,-73.9075489,10463,2,291
The Grand Tier Luxury Apartments - Glenwood,40.772434,-73.981697,10023,2,292
Cityspire Condo,40.7642846,-73.9796854,10019,3,293
The Westminster,40.741767,-73.996841,10011,1,294
Crystal Glass & Mirror,40.68151,-73.9836,11217,1,295
DVORA Hamilton House,40.72929,-74.05065,7302,3,296
Brown Harris Stevens - Cobble Hill,40.68884549,-73.99314431,11201,3,297
The Ashland,40.6876261,-73.9784665,11217,2,298
The Parkline,40.65797126,-73.96111963,11225,3,299
Mercedes House,40.7677253,-73.9915642,10019,5,300
Upper East Side Apartments,40.7604408,-73.9710388,10022,1,301
295J,40.711806,-74.0562619,7304,1,302
Liberty Realty,40.7408576,-74.0283263,7030,5,303
Journal Squared,40.73264749,-74.06112751,7306,1,304
Halletts Point,40.7737968,-73.9367056,11102,3,305
535 W 43rd Street Apartments,40.7611585,-73.9966607,10036,4,306
111 Kent,40.72037,-73.9615,11249,2,307
NY Living Solutions,40.7242258,-74.0032987,10038,2,308
Helmsley Medical Tower,40.76565417,-73.95430224,10021,4,309
The Visionaire,40.70701484,-74.01690411,10004,2,310
The Victory,40.75935,-73.99609,10036,5,311
Stonehenge NYC,40.76295,-73.98329,10019,1,312
Parkhill City,40.705129,-73.8054458,11432,3,313
be@schermerhorn,40.68953,-73.98647,11201,2,314
Manocherian Bros,40.76103,-73.96765,10155,1,315
The Thread,40.7706,-74.02569,7087,5,316
Carpet Time,40.7535988,-73.9072326,11377,3,317
1 QPS by Stonehenge,40.750597,-73.942264,11101,2,318
70 Greene Apartments,40.71474759,-74.0358284,7302,2,319
North Park Apts,40.79559708,-73.96308899,10025,5,320
Grand Adams Apartments,40.741114,-74.035802,7030,2,321
EHS St. George Towers Residence,40.6977,-73.99357,11201,5,322
46th and Lexington,40.75277,-73.97491,10017,5,323
Chinese Movers,40.611235,-74.002486,11214,5,324
MySpace NYC,40.6739591,-73.9570342,11238,2,325
Fordham Terrace,40.864,-73.90685,10468,2,326
Riverton Square,40.813825,-73.935585,10037,3,327
The Landings at Port Imperial Apartments,40.784205,-74.0027412,7093,4,328
The Marlowe - Glenwood,40.77627,-73.95765,10028,3,329
East River Place Park,40.766512,-73.951335,10021,1,330
The Mayfair - 145 Fourth Avenue,40.73371,-73.98968,10003,1,331
Avalon Cove,40.72296,-74.03499,7310,1,332
The Grand,40.84568,-73.90962,10457,2,333
The Grove,40.74212,-73.99895,10011,3,334
EHS New Yorker Residence,40.7527038,-73.9934785,10001,1,335
740 Park Avenue,40.77084289,-73.96494515,10021,4,336
Devonshire House,40.7324,-73.99363,10003,2,337
The Delmar,40.750618,-73.93792,11101,5,338
The Doric Apartments,40.7521286,-74.0377579,7087,3,339
Donald Lai - The Corcoran Group,40.7156859,-73.9600051,11211,4,340
Avalon North Bergen,40.78954224,-74.02405026,7047,2,341
Hamilton Square,40.72778,-74.04349,7302,5,342
Hudson Harbour Condominiums,40.835195,-73.969935,7020,2,343
Wall Patch,40.67133,-73.93645,11213,5,344
Waterside Plaza,40.738007,-73.973694,10010,5,345
66 Pearl,40.703267,-74.010415,10004,1,346
Shorecrest Towers,40.577538,-73.968757,11235,4,347
Nooklyn,40.67269661,-73.95715415,11238,4,348
The Lucerne - Glenwood,40.77228,-73.95331,10075,4,349
Hudson Crossing Apartments,40.755322,-73.9932872,10018,3,350
Yoreevo,40.7383,-73.99946,10011,1,351
The Arthur,40.7463417,-73.9963989,10001,1,352
TF Cornerstone,40.7459599,-73.9575,11109,2,353
25 Broad at the Exchange,40.70606,-74.01114,10004,3,354
C+C Apartment Management,40.80213,-73.94086,10035,1,355
Fast Tech Pros,40.71177116,-74.00667201,11205,3,356
The Pierre Apartments,40.88936,-74.05578,7601,2,357
The Capstone,40.78250576,-74.00584089,7093,4,358
The Lyric,40.7936568,-73.9730942,10025,3,359
Hylan Dartmouth Staten Island Apartments,40.605018,-74.075592,10305,2,360
VYV,40.7241114,-74.03768193,7302,5,361
The Drake,40.73293,-73.8579199,11374,3,362
Hahne & Co,40.740733,-74.1711359,7102,2,363
NYCMedHousing,40.6897476,-73.9823681,11201,1,364
Avalon West Chelsea,40.752172,-74.0041059,10001,2,365
Kips Bay Towers,40.7432283,-73.9757944,10016,3,366
Zen Space Makers,40.65667505,-74.00719069,11232,3,367
15 Central Park West,40.76973,-73.98088,10023,5,368
GoGo Furniture,40.68965,-73.9825,11201,2,369
The Sierra,40.738567,-73.997812,10011,5,370
Normandie Court,40.7845051,-73.948407,10128,4,371
AKA Times Square,40.75680923,-73.98416138,10036,4,372
Janovic Paint and Decorating Center,40.723954,-74.0034437,10012,4,373
221 Bergen,40.74301785,-74.15961084,7029,4,374
The Ritz Plaza,40.76079,-73.98606,10036,2,375
Manhattan Apartments,40.7787895,-73.9785767,10023,2,376
The Silverstein Collection,40.7244733,-73.8512455,11375,1,377
Hudson Tea Building,40.754933,-74.025627,7030,4,378
Homepolish,40.7431813,-73.9908424,10010,1,379
323 PINE,40.71372,-74.05705,7304,4,380
truffles,40.7238,-74.01089,10013,2,381
VINE Apartments,40.749232,-74.03767,7030,2,382
Rivercross,40.7615399,-73.95034,10044,4,383
Crosstown Management,40.72923,-73.85857,11374,1,384
Spaces Fort Greene,40.68757,-73.97961,11217,5,385
63 Wall Street Apartments,40.70579,-74.00859,10005,5,386
Plaza 400,40.7571,-73.96312,10022,5,387
Equity Residential,40.73081,-74.00925,10014,5,388
The Nevins Condominiums,40.6874384,-73.98201205,11217,1,389
River Place,40.761431,-74.0001225,10036,3,390
30 Park Ave,40.7483215,-73.9809875,10016,1,391
100 Maiden Lane Apartments,40.706718,-74.007217,10038,3,392
Rutherford Station Apartments,40.830183,-74.100644,7073,3,393
7W21,40.74094,-73.99114,10010,5,394
The Braswell Team at Compass,40.7410202,-73.9995575,10011,1,395
OpusArts Painting & Design,40.6327681,-74.0085738,11220,3,396
The Atelier Condo,40.76157139,-73.99939201,10036,1,397
90 West Street,40.70449636,-74.01380665,10006,5,398
Elika Real Estate,40.7283298,-73.9921394,10013,1,399
Furnished Habitat,40.7480199,-73.98466,10016,2,400
Frank Galeano Real Estate,40.68438,-74.00333,11231,1,401
NY City Blinds,40.77080988,-73.9514031,10075,3,402
Residence Hall,40.6358854,-73.9519599,11210,4,403
One Third Ave,40.73887445,-73.64047363,11501,3,404
515 Ovington Ave,40.6326103,-74.0206375,11209,5,405
The Bristol - Glenwood,40.75822,-73.96519,10022,2,406
Dermot,40.76021,-73.9837,10019,1,407
Monterey at Lex,40.7863802,-73.9503972,10029,5,408
Organized by A,40.76387,-73.98619,10019,2,409
Novo417,40.72338,-73.99264,10022,4,410
The Oosten,40.7096138,-73.9683838,11249,1,411
33 Gold Street,40.70884,-74.0058899,10038,1,412
Grove Pointe,40.719832,-74.042177,7302,4,413
163 Washington Ave Apartments,40.693924,-73.966472,11205,3,414
Columbus Square,40.793919,-73.967321,10025,4,415
Ocean Luxury Apartments,40.70503436,-74.0173354,10004,3,416
Brown Harris Stevens - Brooklyn Heights,40.69495,-73.994033,11201,3,417
The Corinthian Apartments,40.746215,-73.9724369,10016,5,418
Modern Spaces-Astoria,40.7655153,-73.9184711,11103,1,419
555 Ten,40.758759,-73.996271,10018,5,420
Gramercy House,40.73737717,-73.98609161,10003,3,421
Gypsy Housing,40.701351,-73.918923,11237,3,422
Summit NYC,40.75149,-73.97235,10017,3,423
Artistic Stone,40.6998084,-74.2325595,7205,3,424
Silk Bldg Condo,40.72807,-73.9937999,10012,2,425
Flushing Commons,40.76044567,-73.82957008,11354,5,426
Portside Towers Apartments,40.71189837,-74.03946837,7302,2,427
Symphony House,40.76597595,-73.98255157,10019,2,428
Dixon Mills,40.72061,-74.04871,7302,5,429
NYC Floor Pro,40.75013,-73.97058,10017,4,430
The Oakman,40.72157499,-74.04050315,7302,4,431
Tudor Realty Services,40.7381061,-73.9880919,10003,3,432
New York Tower,40.747184,-73.97245,10016,2,433
TLF Realty Group,40.86897,-73.91706,10034,2,434
Welcome Home Real Estate,40.74684,-73.91745,11104,3,435
Management Co Babad,40.73277,-74.0088899,10014,3,436
The Harper at Harmon Meadow,40.789303,-74.040685,7094,1,437
Harbor Landing at Garvies Point,40.8629,-73.6366,11542,4,438
LaMatto Properties,40.717199,-73.944585,11211,2,439
Slate NYC,40.73766006,-73.9886182,10003,5,440
80 Meserole Street,40.7077213,-73.9468512,11206,5,441
The Wellesley,40.7695353,-73.9604575,10021,4,442
Harbor 1500,40.76103886,-74.02094026,7086,2,443
Riviera Electric,40.64624,-74.00595,11220,4,444
Leon Cato Photography,40.73880386,-73.87837982,11373,5,445
RiversEdge at Port Imperial,40.772506,-74.013229,7086,5,446
200W60,40.7710018,-73.987724,10023,2,447
AKA United Nations,40.75257,-73.9714,10017,2,448
BRG Talbot,40.709782,-73.828272,11415,2,449
The Andover Luxury Apartments - Glenwood,40.77767,-73.94626,10128,2,450
Lumen Home Designs,40.760827,-73.986223,10036,5,451
The Villas,40.710935,-74.298061,7081,2,452
The Octagon,40.76895552,-73.94371212,10044,1,453
Rennit NYC,40.697911,-73.93638,11206,3,454
Horizon Realty,40.757969,-73.917139,11103,4,455
"MCKB, Manhattan Center for Kitchen and Bath",40.74399941,-73.99112458,10010,4,456
Wall Empire,40.7459698,-73.9869095,10001,1,457
Van Dyke Houses,40.66313553,-73.90490723,11212,2,458
The Milan Apartments,40.742984,-73.993721,10011,4,459
1871 House,40.76424,-73.96739,10065,2,460
3rd Space,40.7308,-74.16695,7105,2,461
Grymes Hills Apts,40.6197295,-74.091566,10301,3,462
Mirador Real Estate,40.734065,-73.9937052,10003,2,463
Skyline Apartments NYC,40.74591,-73.97854,10016,2,464
150 Clermont Ave,40.69358788,-73.97117959,11205,3,465
East Gate Apartments of Nutley,40.807269,-74.142578,7110,2,466
The Tempo Apartments,40.779676,-73.982653,10023,1,467
31 Ocean Parkway,40.649787,-73.974121,11218,1,468
One Madison Park,40.74050903,-73.98810577,10010,5,469
Steel Works Apartments,40.735729,-74.154635,7029,5,470
Related Companies,40.753553,-74.002607,10001,5,471
Linden Plaza Apartment,40.672799,-73.866115,11208,4,472
K&R Realty Management,40.80596,-73.95558,10026,2,473
Brooklyn Equities 11,40.69509543,-73.99089284,11201,5,474
The Wyoming - WAM Partners,40.763847,-73.980759,10019,4,475
Locksmith Brooklyn-4-U,40.714091,-73.960087,11211,5,476
Ellipse Apartments,40.7311415,-74.0324054,7310,2,477
TF Cornerstone,40.75453,-73.997556,10001,3,478
Oxford Property Group,40.750899,-73.983983,10018,5,479
Avalon Morningside Park,40.80233,-73.96171,10025,4,480
Hillel Realty Group,40.70019,-73.90701,11385,2,481
All Points Real Estate,40.6913399,-73.99101,11201,4,482
20 Pine Street,40.70758,-74.00987,10005,2,483
American Copper Buildings,40.74446,-73.97194,10016,5,484
333 River Street Apts,40.74083,-74.02748,7030,5,485
Constantine Village,40.7148331,-74.38805,7901,2,486
Rocket Factory Lofts,40.71197,-73.96383,11249,5,487
55 Hope,40.713371,-73.955559,11211,1,488
Tribeca Tower Luxury Apartments,40.7156376,-74.0059753,10007,2,489
Harbor Pointe,40.67092,-74.09843613,7002,3,490
Flatbush Gardens,40.638377,-73.944235,11210,4,491
KJD AV Design,40.6924,-73.92621,11221,5,492
Beaudoin Realty,40.7495726,-73.8873768,11372,2,493
Universal Realty Group,40.72847,-73.98522,10003,4,494
OfficeOps,40.705357,-73.930364,11237,2,495
Lindsay Park Housing Corporation,40.706365,-73.9501727,11211,4,496
Heatherwood Luxury Rentals,40.8060323,-73.2730123,11725,3,497
1209 Dekalb Apartments,40.69570875,-73.92789022,11221,1,498
Foundry Lofts,40.7096678,-74.0601588,7304,2,499
Independence Plaza,40.71897,-74.01076,10013,3,500
Xchange At Secaucus Junction,40.76439,-74.081236,7094,3,501
