,name,latitude,longitude,zipcode,rating,categories,transactions,cluster,centroids
46,Cheong Fun Cart On Rutgers,40.71395,-73.98996,10002,5,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'foodstands', 'title': 'Food Stands'}]",['delivery'],62,0
47,Pasta Louise,40.666091,-73.9787254,11215,4.5,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pastashops', 'title': 'Pasta Shops'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",['delivery'],182,0
48,Aldama,40.71099971,-73.96489654,11249,4,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",[],165,0
49,Cheong Fun Cart,40.71762798,-73.99637369,10013,4.5,"[{'alias': 'foodstands', 'title': 'Food Stands'}, {'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'streetvendors', 'title': 'Street Vendors'}]",['delivery'],86,1
50,Cheong Fun Cart,40.71762798,-73.99637369,10013,4.5,"[{'alias': 'foodstands', 'title': 'Food Stands'}, {'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'streetvendors', 'title': 'Street Vendors'}]",['delivery'],86,0
51,Jongro Rice Hot Dog,40.7478606,-73.98684282,10001,4,"[{'alias': 'hotdog', 'title': 'Hot Dogs'}, {'alias': 'korean', 'title': 'Korean'}]",['delivery'],98,0
52,Xi'an Famous Foods,40.69212,-73.9867,11201,4,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'burgers', 'title': 'Burgers'}]",['delivery'],40,0
53,The Binc,40.69925,-73.99227,11201,4.5,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",['delivery'],160,0
54,Forever Taste,40.71293,-73.98994,10002,4,"[{'alias': 'chinese', 'title': 'Chinese'}]",['delivery'],62,1
55,Niche,40.71786,-73.98518,10002,4,"[{'alias': 'japanese', 'title': 'Japanese'}]",[],38,0
56,Fornino,40.69287353,-74.00169323,11201,4,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}]",[],175,0
57,Cobble Fish,40.70530195,-74.00257774,10038,4.5,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",[],105,0
58,Ursula BK,40.672656,-73.954677,11216,4.5,"[{'alias': 'newmexican', 'title': 'New Mexican Cuisine'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'bakeries', 'title': 'Bakeries'}]",[],145,0
59,Lucky Paan,40.74215002,-73.982722,10016,5,"[{'alias': 'gourmet', 'title': 'Specialty Food'}]",[],2,0
60,Diner,40.71069,-73.96559,11249,4,"[{'alias': 'diners', 'title': 'Diners'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",['delivery'],39,0
61,The Commodore,40.71382571,-73.95560503,11211,4,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","['pickup', 'delivery']",132,0
62,Lava Shawarma,40.71964,-73.98507,10002,4.5,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'mideastern', 'title': 'Middle Eastern'}]","['pickup', 'delivery']",38,0
63,Smith Gourmet Deli,40.68751,-73.99007,11201,5,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'delis', 'title': 'Delis'}]",['delivery'],40,0
