"","BoroName","LATITUDE","LONGITUDE"
"1735","Manhattan",40.801787,-73.945807
"1736","Manhattan",40.812874,-73.949044
"1737","Manhattan",40.824246,-73.936951
"1738","Manhattan",40.750054,-73.972496
"1739","Manhattan",40.77415,-73.982018
"1740","Manhattan",40.779304,-73.953468
"1741","Manhattan",40.829829,-73.944407
"1742","Manhattan",40.821075,-73.946314
"1743","Manhattan",40.769046,-73.985047
"1744","Manhattan",40.708184,-74.01258
"1745","Manhattan",40.737902,-73.981214
"1746","Manhattan",40.712399,-73.991971
"1747","Manhattan",40.712556,-73.992098
"1748","Manhattan",40.776869,-73.949086
"1749","Manhattan",40.742094,-73.997256
"1750","Manhattan",40.727113,-73.988898
"1751","Manhattan",40.792029,-73.946017
"1752","Manhattan",40.707852,-74.003488
"1753","Manhattan",40.820198,-73.9366
"1754","Manhattan",40.804821,-73.956873
"1755","Manhattan",40.724488,-73.978674
"1756","Manhattan",40.716453,-73.988717
"1757","Manhattan",40.713247,-73.984248
"1758","Manhattan",40.835169,-73.940188
"1759","Manhattan",40.85732,-73.935338
"1760","Manhattan",40.817998,-73.941502
"1761","Manhattan",40.819589,-73.94081
"1762","Manhattan",40.749604,-73.972006
"1763","Manhattan",40.788605,-73.949055
"1764","Manhattan",40.807956,-73.945168
"1765","Manhattan",40.829123,-73.948246
"1766","Manhattan",40.756691,-73.997451
"1767","Manhattan",40.868991,-73.917626
"1768","Manhattan",40.788199,-73.938613
"1769","Manhattan",40.832514,-73.945487
"1770","Manhattan",40.803457,-73.935507
"1771","Manhattan",40.81209,-73.936374
"1772","Manhattan",40.745011,-73.976174
"1773","Manhattan",40.8722,-73.913022
"1774","Manhattan",40.81247,-73.936681
"1775","Manhattan",40.784964,-73.949067
"1776","Manhattan",40.80398,-73.967087
"1777","Manhattan",40.816469,-73.939329
"1778","Manhattan",40.80388,-73.957774
"1779","Manhattan",40.786893,-73.954289
"1780","Manhattan",40.809293,-73.94419
"1781","Manhattan",40.815233,-73.940226
"1782","Manhattan",40.813724,-73.941328
"1783","Manhattan",40.805295,-73.956524
"1784","Manhattan",40.79697,-73.94692
"1785","Manhattan",40.763251,-73.977812
"1786","Manhattan",40.771608,-73.950711
"1787","Manhattan",40.774559,-73.988499
"1788","Manhattan",40.788918,-73.9403
"1789","Manhattan",40.73893,-73.980313
"1790","Manhattan",40.728033,-74.002453
"1791","Manhattan",40.721817,-73.988837
"1792","Manhattan",40.805688,-73.961733
"1793","Manhattan",40.718835,-74.011422
"1794","Manhattan",40.813249,-73.945447
"1795","Manhattan",40.78989,-73.94042
"1796","Manhattan",40.76886,-73.988228
"1797","Manhattan",40.823113,-73.941565
"1798","Manhattan",40.737645,-73.981231
"1799","Manhattan",40.81671,-73.946251
"1800","Manhattan",40.743611,-73.971497
"1801","Manhattan",40.81985,-73.955505
"1802","Manhattan",40.821955,-73.953966
"1803","Manhattan",40.817077,-73.942649
"1804","Manhattan",40.723293,-73.979549
"1805","Manhattan",40.778951,-73.986856
"1806","Manhattan",40.820395,-73.954633
"1807","Manhattan",40.735804,-73.982571
"1808","Manhattan",40.819824,-73.9547
"1809","Manhattan",40.72248,-73.98906
"1810","Manhattan",40.730786,-73.973862
"1811","Manhattan",40.789474,-73.952378
"1812","Manhattan",40.713367,-73.997449
"1813","Manhattan",40.773528,-73.95526
"1814","Manhattan",40.848328,-73.93059
"1815","Manhattan",40.732147,-73.985228
"1816","Manhattan",40.725451,-73.986708
"1817","Manhattan",40.813137,-73.956613
"1818","Manhattan",40.811422,-73.957502
"1819","Manhattan",40.766726,-73.956626
"1820","Manhattan",40.728001,-74.007452
"1821","Manhattan",40.802143,-73.939162
"1822","Manhattan",40.769524,-73.960329
"1823","Manhattan",40.716855,-74.006268
"1824","Manhattan",40.712958,-73.987285
"1825","Manhattan",40.732085,-73.984605
"1826","Manhattan",40.728881,-73.987605
"1827","Manhattan",40.717414,-74.013934
"1828","Manhattan",40.73301,-73.987564
"1829","Manhattan",40.842338,-73.94211
"1830","Manhattan",40.830755,-73.940768
"1831","Manhattan",40.830838,-73.940479
"1832","Manhattan",40.802804,-73.967919
"1833","Manhattan",40.813655,-73.955909
"1834","Manhattan",40.771112,-73.947816
"1835","Manhattan",40.77482,-73.947816
"1836","Manhattan",40.712727,-73.992683
"1837","Manhattan",40.83155,-73.94266
"1838","Manhattan",40.71425,-73.992449
"1839","Manhattan",40.744875,-73.978582
"1840","Manhattan",40.867927,-73.920057
"1841","Manhattan",40.759722,-73.980402
"1842","Manhattan",40.762035,-73.972016
"1843","Manhattan",40.738584,-73.982828
"1844","Manhattan",40.748857,-73.982047
"1845","Manhattan",40.802294,-73.949295
"1846","Manhattan",40.825562,-73.935974
"1847","Manhattan",40.759092,-73.980863
"1848","Manhattan",40.704984,-74.016103
"1849","Manhattan",40.748054,-73.969878
"1850","Manhattan",40.864012,-73.918118
"1851","Manhattan",40.864032,-73.918155
"1852","Manhattan",40.86444,-73.918599
"1853","Manhattan",40.864464,-73.918636
"1854","Manhattan",40.810666,-73.939276
"1855","Manhattan",40.733681,-73.986697
"1856","Manhattan",40.733818,-73.989734
"1857","Manhattan",40.838823,-73.943718
"1858","Manhattan",40.749297,-73.984089
"1859","Manhattan",40.751218,-73.982689
"1860","Manhattan",40.751433,-73.982477
"1861","Manhattan",40.742831,-73.980058
"1862","Manhattan",40.751723,-73.982321
"1863","Manhattan",40.754563,-73.980251
"1864","Manhattan",40.757474,-73.978119
"1865","Manhattan",40.758142,-73.977636
"1866","Manhattan",40.759586,-73.976579
"1867","Manhattan",40.760184,-73.976147
"1868","Manhattan",40.761263,-73.975372
"1869","Manhattan",40.763348,-73.973849
"1870","Manhattan",40.745956,-73.97844
"1871","Manhattan",40.741062,-73.988707
"1872","Manhattan",40.75557,-73.97952
"1873","Manhattan",40.755899,-73.979282
"1874","Manhattan",40.747903,-73.976369
"1875","Manhattan",40.814858,-73.958634
"1876","Manhattan",40.712109,-73.997305
"1877","Manhattan",40.864723,-73.928553
"1878","Manhattan",40.761175,-73.983598
"1879","Manhattan",40.759231,-73.968088
"1880","Manhattan",40.713462,-73.982304
"1881","Manhattan",40.814448,-73.936259
"1882","Manhattan",40.810443,-73.950838
"1883","Manhattan",40.743803,-73.973823
"1884","Manhattan",40.744049,-73.973885
"1885","Manhattan",40.79251,-73.923455
"1886","Manhattan",40.725913,-74.008864
"1887","Manhattan",40.802019,-73.961366
"1888","Manhattan",40.715732,-73.986389
"1889","Manhattan",40.787229,-73.945105
"1890","Manhattan",40.731866,-73.982035
"1891","Manhattan",40.793959,-73.963183
"1892","Manhattan",40.820559,-73.951165
"1893","Manhattan",40.840486,-73.942848
"1894","Manhattan",40.75233,-73.973151
"1895","Manhattan",40.73908,-73.983136
"1896","Manhattan",40.7152,-73.9846
"1897","Manhattan",40.723229,-73.989117
"1898","Manhattan",40.716414,-73.99205
"1899","Manhattan",40.81709,-73.959839
"1900","Manhattan",40.790869,-73.942429
"1901","Manhattan",40.795858,-73.938818
"1902","Manhattan",40.790019,-73.939599
"1903","Manhattan",40.737958,-73.977602
"1904","Manhattan",40.731864,-73.985432
"1905","Manhattan",40.754213,-73.97177
"1906","Manhattan",40.749738,-73.969007
"1907","Manhattan",40.724145,-73.987655
"1908","Manhattan",40.717164,-73.991193
"1909","Manhattan",40.731836,-73.982058
"1910","Manhattan",40.826846,-73.95173
"1911","Manhattan",40.754511,-73.968959
"1912","Manhattan",40.765961,-73.960592
"1913","Manhattan",40.7588,-73.9624
"1914","Manhattan",40.776048,-73.96173
"1915","Manhattan",40.755388,-73.971525
"1916","Manhattan",40.822578,-73.942268
"1917","Manhattan",40.82836,-73.93804
"1918","Manhattan",40.825865,-73.939864
"1919","Manhattan",40.828056,-73.937969
"1920","Manhattan",40.80139,-73.95363
"1921","Manhattan",40.803753,-73.948618
"1922","Manhattan",40.805679,-73.950967
"1923","Manhattan",40.795133,-73.971211
"1924","Manhattan",40.800531,-73.954736
"1925","Manhattan",40.821104,-73.957165
"1926","Manhattan",40.711878,-73.997931
"1927","Manhattan",40.707938,-74.003737
"1928","Manhattan",40.869681,-73.915918
"1929","Manhattan",40.798899,-73.961184
"1930","Manhattan",40.71434,-73.979653
"1931","Manhattan",40.735431,-73.985439
"1932","Manhattan",40.778734,-73.985113
"1933","Manhattan",40.820961,-73.936064
"1934","Manhattan",40.723461,-73.988233
"1935","Manhattan",40.803031,-73.944898
"1936","Manhattan",40.795127,-73.971697
"1937","Manhattan",40.81025,-73.96248
"1938","Manhattan",40.796513,-73.934879
"1939","Manhattan",40.743234,-74.003858
"1940","Manhattan",40.747373,-73.981854
"1941","Manhattan",40.751924,-73.993078
"1942","Manhattan",40.749579,-73.987464
"1943","Manhattan",40.788386,-73.976942
"1944","Manhattan",40.737985,-73.977579
"1945","Manhattan",40.80322,-73.93438
"1946","Manhattan",40.80405,-73.93691
"1947","Manhattan",40.784218,-73.943859
"1948","Manhattan",40.744264,-73.97299
"1949","Manhattan",40.731736,-73.982126
"1950","Manhattan",40.759972,-73.96717
"1951","Manhattan",40.731709,-73.982144
"1952","Manhattan",40.740482,-73.975807
"1953","Manhattan",40.772833,-73.952164
"1954","Manhattan",40.777412,-73.948873
"1955","Manhattan",40.796107,-73.938583
"1956","Manhattan",40.760491,-73.96783
"1957","Manhattan",40.80408,-73.93696
"1958","Manhattan",40.805469,-73.940277
"1959","Manhattan",40.807516,-73.945134
"1960","Manhattan",40.80688,-73.9501
"1961","Manhattan",40.783815,-73.947573
"1962","Manhattan",40.810537,-73.952317
"1963","Manhattan",40.760088,-73.96763
"1964","Manhattan",40.774857,-73.987926
"1965","Manhattan",40.76553,-73.96351
"1966","Manhattan",40.777381,-73.948888
"1967","Manhattan",40.752415,-73.981814
"1968","Manhattan",40.753185,-73.981253
"1969","Manhattan",40.768038,-73.961721
"1970","Manhattan",40.740453,-73.975826
"1971","Manhattan",40.785445,-73.929232
"1972","Manhattan",40.789941,-73.925567
"1973","Manhattan",40.716392,-73.987786
"1974","Manhattan",40.778101,-73.95178
"1975","Manhattan",40.80069,-73.946793
"1976","Manhattan",40.806162,-73.94192
