name,latitude,longitude,zipcode,url,rating
Sunny and Annie's,40.724653,-73.981702,10003,https://www.yelp.com/biz/sunny-and-annies-new-york?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,4.5
Jack's Wife Freda,40.7221323,-73.9975402,10012,https://www.yelp.com/biz/jacks-wife-freda-new-york?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,4.0
Warkop Nyc,40.76444,-73.98759,10019,https://www.yelp.com/biz/warkop-nyc-new-york-2?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,4.5
Rice Noodle Cart,40.717931,-74.000283,10013,https://www.yelp.com/biz/rice-noodle-cart-new-york?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,4.5
Rule of Thirds,40.7246328,-73.9551096,11222,https://www.yelp.com/biz/rule-of-thirds-brooklyn?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,4.0
Boxed To-Go,40.72926317673329,-73.98888386785984,10003,https://www.yelp.com/biz/boxed-to-go-new-york?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,4.5
Itaewon Pocha,40.7475125111924,-73.9867554408843,10001,https://www.yelp.com/biz/itaewon-pocha-new-york?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,4.0
The Osprey,40.702241,-73.995539,11201,https://www.yelp.com/biz/the-osprey-brooklyn?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,4.0
Fong On,40.71417,-73.9937,10002,https://www.yelp.com/biz/fong-on-new-york?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,4.5
The Halal Guys,40.761861,-73.979306,10019,https://www.yelp.com/biz/the-halal-guys-new-york-2?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,4.0
Xi'an Famous Foods,40.715082,-73.997342,10013,https://www.yelp.com/biz/xian-famous-foods-new-york-30?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,4.0
The Food Sermon Kitchen,40.6985551,-73.9712029,11205,https://www.yelp.com/biz/the-food-sermon-kitchen-brooklyn-2?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,4.5
Kuih Cafe,40.7159,-73.99301,10002,https://www.yelp.com/biz/kuih-cafe-new-york?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,4.5
Atrium Dumbo,40.7033899,-73.9904923,11201,https://www.yelp.com/biz/atrium-dumbo-brooklyn?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,4.0
