name,id,latitude,longitude,zipcode,rating
City Wide Apartments,HGHfNMckUdTa_BUwLXNYmQ,40.754718514492446,-73.99200613156358,10018,4.5
146S4,HORUVFHXnPgIV9vo58uxVg,40.7115622,-73.9620808,11211,4.0
East Village Apartments By Sudha,tQ_OXV3vTrURoUkp5HLEPA,40.725643,-73.990441,10003,5.0
AKA Central Park,XBZI0dnAxY07fFIHT6_xog,40.7650501395815,-73.9767040259338,10019,3.5
Building Equity Management,FJ2mQ5PyE0dLL2D9IUq0ng,40.7479343,-73.9885689,10001,5.0
75 Wall Street,VXJDuQhUmCBErKYqIby24w,40.705152,-74.007988,10005,4.0
SharedEasy,QBstv447M2YRQ89wFYdLtw,40.795162,-73.963674,10025,3.5
Atlas New York,NM5zIT-skXifAK7DOM1CDw,40.75197,-73.9857,10018,4.5
Murray Hill Marquis,nMn1xDC1LijZv2Vl-GpCsA,40.7459,-73.97929,10016,4.5
3333 Broadway,tyezSyhH670pbE9OJ5emKA,40.81999160507477,-73.95643084493487,10031,1.5
77 Hudson,S5kzENnYax-MJzc_uSccfg,40.7145907626185,-74.0350029983096,07302,5.0
70 Pine,AH2N2y9cWHjQD1ToPUsn5Q,40.706537,-74.007687,10270,4.0
Urban American Management,I-rRELQSL52RCO9wQHZFtg,40.7462,-73.9934323,10001,2.0
Village Dwellings,KYP4CjM1mWAhU3b_UZGlNQ,40.73386,-74.00296,10014,5.0
Barclay Tower - Glenwood,OWRv-U-fK5mgkvDNfJEY5g,40.7123599,-74.00915,10007,4.5
424 Bedford,mc90DRm5C3nkTLlambekwQ,40.709458,-73.964337,11211,5.0
The Pinnacle,_f29TM3f-ewtZbgI4lAXEw,40.71898229871188,-73.83683047340179,11375,4.5
The Albert,ebQd3YIwmpCUMGG1IP8d2g,40.73269,-73.99345,10011,4.0
The Westport,5zqypgmaLHrxvlsCBqzOfA,40.76854,-73.98955,10019,5.0
388 Bridge,cem2B42uBpT5gQC6wMdA6A,40.6917147,-73.9854865,11201,5.0
The Edge,3kX5Qj0xTCduiWB5eVQACg,40.71944,-73.96224,11211,3.5
The Modern,6FFRwiNxBCBga1WIWjTc7g,40.85272853322854,-73.96675963458847,07024,4.0
Windsor at Liberty House,P0YwkKeVxNy17DEpvHK6Yw,40.713559,-74.038973,07302,4.5
City Tower,qAxwT6f5cyCGml8XdGUQ5Q,40.6911205,-73.9823872,11201,3.5
170 Amsterdam Apartments,K4U77Zpdl_70vOehUkKkXg,40.77593,-73.98382,10023,4.0
Orion Condos,56Nox1ZWt5vWqnPV-SRKgQ,40.7578699,-73.99227,10036,5.0
20 Exchange Place Apartments,UpmVl2x5TiEbB2BxI2419w,40.7056777,-74.0094714,10005,3.0
Noonan Towers,uDqLM3TPn11a6aS6wpf2OQ,40.83074,-73.9295999,10452,5.0
Tribeca Park Luxury Apartments,iAfm2NKR9tiojt3ETlNMFg,40.7179120214338,-74.0147960186005,10282,4.5
34 Berry,607JKPkvrmyGUqtSA-o59w,40.7213263,-73.9564168,11249,4.5
Avalon Willoughby Square,-F584l0BSs9RqFxoqG9jZQ,40.6918,-73.98449,11201,3.5
Chelsmore Apartments,jHfT1osBttkL7E-clNEiag,40.73964,-73.99986,10011,4.0
INSTRATA Gramercy Apartments,PpDTiO6JVE0CjdfJTrsiqg,40.7385802,-73.9836842,10010,3.5
The Vanguard Chelsea,TMgNXkMYwXD25PqQz33hbQ,40.74358,-73.9919199,10010,4.0
66 Rockwell Apartments,G6_TfG85i9PXxTPxYvxu7A,40.6881535803479,-73.9794034564635,11217,4.0
88 Leonard,PSMwrS9B11e3iN-xBZhhbg,40.7170753,-74.004833,10013,4.0
Beatrice Apartments,N8kPmjiU2y9iPPc69K2CgQ,40.74687,-73.99032,10001,4.0
325 Kent,Kz8qKqs07GjX38qor50FMg,40.7134336,-73.9671576,11249,3.0
London Terrace,31zi_WdmXMs935D7hMNjWA,40.747519479328055,-74.00204121990714,10011,3.5
Avalon Riverview,AoyWsc2YrAqmHmZuOg416w,40.74537,-73.95807,11109,3.5
Brick & Mortar,VXyAG_bASc7Rc7bMUENyVQ,40.7183971,-73.9583791,11249,4.5
21 West End,3FYwikQxiHQns754PUJNJQ,40.7730114530623,-73.9905463489936,10069,4.0
DVORA Art House,nJR6L4r0l3h9aGNCkq-e7g,40.72159821728407,-74.0398809,07302,4.0
One Hudson Yards,AV-Fa-EGg9ggHRxFCjjQtg,40.75255,-74.00273,10001,4.5
Herald Towers,TxyN6RbnJ4bFyK4Spv4Igg,40.74916,-73.98701,10001,3.0
One North Fourth,nQDr5Q3ibS7VtVGKfgLkMg,40.7194871556471,-73.9642385270975,11249,3.5
StuyTown,u0C5pOEqhu_5kROBAGPZNQ,40.7317630018491,-73.9819652840086,10009,2.5
600 Washington Apartments,_8Vgedeziqlt59PikBrosw,40.73081,-74.00925,10014,3.5
Metropolis,HnZs7PMk0NTKatU8zWHUew,40.75218847895862,-73.9741715,10017,4.5
Sky,Uda5SoL9qky-kYS58_DABg,40.761309,-73.99881,10036,2.5
TF Cornerstone,o4wd-76S93upBzfC6HV9rg,40.6884983,-73.9835728,11201,3.5
175 Kent Apartments,KOK38Ynjt2Snbjb5pp94QA,40.7179341,-73.9634425,11249,4.0
Avalon Brooklyn Bay,CSuRSQvwkupRGQm6t5QoMA,40.58583,-73.95375,11235,3.5
180 Water Street,i0W64254EJ2y3vjsQyrfPA,40.707,-74.00554,10038,2.5
The Nicole,_sHexHm7CJ20KKcD0QTCZw,40.766552,-73.9868622,10019,4.5
Sloane Chelsea,fuUfEC0C8wsZykWnRAaG7w,40.75301,-73.99582,10001,1.0
The Eugene,vV0Xcxrjj19-RL7ko2hznA,40.75212794387309,-73.99902145981278,10001,4.0
The Markle Evangeline Residence,xBdfMBzXPyoyOue2tZN8lA,40.73725,-73.99844,10011,3.0
267 Pacific,aknyujn6MomqX1FNpg45Ow,40.68829,-73.989883,11201,5.0
Newport Jersey City Apartments,lFjLrUVsVjuGv7kptTs6cA,40.7264084,-74.0341659,07310,3.0
Estuary Apartments,46jU0Runu_9Mi9YrykQ35Q,40.763041,-74.021857,07086,3.5
110 Horatio Street,yA9EkyPsMdBnii8UZHFkXg,40.738624,-74.009432,10014,5.0
Chrystie,oZqpca-AUU21oMhkuXZoSA,40.72346,-73.9919,10002,2.0
VIA 57 West,kcaGiw83NTTz0NY4URjqww,40.7714779,-73.9930129,10019,3.5
Luxury Apartments LIC,xIZgK4jUsWxu23SUWLXIfw,40.74962,-73.93963,11101,5.0
Lenox Terrace Leasing,C2wg0_l-Vm5-BBL92J8D0A,40.813264287393,-73.941183151065,10037,2.5
Kips Bay Court,FUS9ypYBsn2FmE_GzCYGXg,40.74074,-73.97832,10016,2.5
89 Murray,ncWUS9WGXmVKOtIDqe0ZLw,40.7150983898287,-74.0115666389465,10007,4.0
Northside Piers,bUPQgdoTRazp2IkO-bpeAw,40.7182094,-73.9625549,11211,4.0
Hub,lCrmt-s2oWDRwg4F-F-Zig,40.6874817,-73.9809402,11217,3.5
The Sagamore,toJG0ut-yBcKN5hTpDOW8g,40.7898844,-73.9732544,10024,4.0
Our Lady of Good Counsel SRO,ZJKqRaCHxPsa_V5MYLT36Q,40.687461,-73.92515,11221,1.0
